_id,uuid,time,latitude,longitude,altitude,client ip
ObjectId("5d22ea634c62602e3b146e3c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569315194,14.6477473,121.0653554,115.9000015258789,175.176.17.146
ObjectId("5d22ea654c62602e3b146e3e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569315830,14.6477917,121.0654298,121.5,175.176.17.146
ObjectId("5d22ea654c62602e3b146e40"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569316883,14.6477917,121.0654298,121.5,175.176.17.146
ObjectId("5d22ea664c62602e3b146e42"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569317849,14.6478167,121.0656553,115.9000015258789,175.176.17.146
ObjectId("5d22ea674c62602e3b146e44"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569318852,14.6478167,121.0656553,115.9000015258789,175.176.17.146
ObjectId("5d22ea684c62602e3b146e46"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569319865,14.648089,121.0661402,121.5,175.176.17.146
ObjectId("5d22ea694c62602e3b146e48"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569320847,14.6481151,121.0661944,121.5,175.176.17.146
ObjectId("5d22ea6a4c62602e3b146e4a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569321865,14.6480749,121.0661705,121.5,175.176.17.146
ObjectId("5d22ea6b4c62602e3b146e4c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569322858,14.647963,121.0661133,121.5,175.176.17.146
ObjectId("5d22ea6c4c62602e3b146e4e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569323858,14.6479005,121.0660378,115.9000015258789,175.176.17.146
ObjectId("5d22ea6d4c62602e3b146e50"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569324886,14.6479112,121.0660378,121.5,175.176.17.146
ObjectId("5d22ea6e4c62602e3b146e52"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569325882,14.6479112,121.0660378,121.5,175.176.17.146
ObjectId("5d22ea6f4c62602e3b146e54"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569326886,14.6478858,121.0661715,118.0999984741211,175.176.17.146
ObjectId("5d22ea704c62602e3b146e56"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569327913,14.6479411,121.066294,118.0999984741211,175.176.17.146
ObjectId("5d22ea714c62602e3b146e58"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569328882,14.6481479,121.0663173,124.5999984741211,175.176.17.146
ObjectId("5d22ea724c62602e3b146e5a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569329899,14.6480457,121.0664817,122.9000015258789,175.176.17.146
ObjectId("5d22ea734c62602e3b146e5c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569330895,14.6480618,121.0666286,122.9000015258789,175.176.17.146
ObjectId("5d22ea744c62602e3b146e5e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569331897,14.6480322,121.0664789,118.0999984741211,175.176.17.146
ObjectId("5d22ea754c62602e3b146e60"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569332914,14.6481009,121.0664582,,175.176.17.146
ObjectId("5d22ea764c62602e3b146e62"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569333902,14.6481893,121.0665415,124.5999984741211,175.176.17.146
ObjectId("5d22ea774c62602e3b146e64"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569334910,14.6483247,121.0663762,124.5999984741211,175.176.17.146
ObjectId("5d22ea784c62602e3b146e66"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569335913,14.6482606,121.0665722,124.5999984741211,175.176.17.146
ObjectId("5d22ea794c62602e3b146e68"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569336924,14.6481741,121.0666772,118.0999984741211,175.176.17.146
ObjectId("5d22ea7a4c62602e3b146e6a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569337922,14.6482156,121.066618,,175.176.17.146
ObjectId("5d22ea7b4c62602e3b146e6c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569338973,14.6482613,121.066553,,175.176.17.146
ObjectId("5d22ea7c4c62602e3b146e6e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569339936,14.6480646,121.066803,118.0999984741211,175.176.17.146
ObjectId("5d22ea7d4c62602e3b146e70"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569340932,14.6480462,121.066832,122.9000015258789,175.176.17.146
ObjectId("5d22ea7e4c62602e3b146e72"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569341949,14.6480462,121.066832,122.9000015258789,175.176.17.146
ObjectId("5d22ea7f4c62602e3b146e74"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569342954,14.6481397,121.0671756,,175.176.17.146
